award_year,date_awarded,prize_amount,prize_amount_adjusted,laureate_id,known_name,full_name,sex,portion,sort_order,motivation,category,birth_date,birth_city,birth_country,birth_latitude,birth_longitude,death_date,death_city,death_country,death_latitude,death_longitude,affiliation_name,affiliation_city,affiliation_country,affiliation_latitude,affiliation_longitude,wikipedia_url,is_shared,winners_per_year,winners_per_category,is_repeat_winner,country_winner_rank
1904,11/8/1904,140859,9822844,8.0,Lord Rayleigh,Lord Rayleigh (John William Strutt),male,1.0,1.0,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Physics,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,,,6/30/1919,,United Kingdom,,,Royal Institution of Great Britain,London,United Kingdom,51.510235,-0.120852,"https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh",0,5,230,0,2.0
1904,10/20/1904,140859,9822844,296.0,Ivan Pavlov,Ivan Petrovich Pavlov,male,1.0,1.0,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",Physiology or Medicine,1849-09-14,Ryazan,Russia,54.613102,39.704829,2/27/1936,Leningrad,Russia,59.904356,30.35828,Military Medical Academy,St. Petersburg,Russia,59.956651,30.333547,https://en.wikipedia.org/wiki/Ivan_Pavlov,0,5,232,0,1.0
1905,11/9/1905,138089,9629677,575.0,Henryk Sienkiewicz,Henryk Sienkiewicz,male,1.0,1.0,because of his outstanding merits as an epic writer,Literature,1846-05-05,Wola Okrzejska,Poland,51.749447,22.133632,11/15/1916,Vevey,Switzerland,46.462833,6.841919,,,,,,https://en.wikipedia.org/wiki/Henryk_Sienkiewicz,0,5,122,0,3.0
1905,11/9/1905,138089,9629677,9.0,Philipp Lenard,Philipp Eduard Anton von Lenard,male,1.0,1.0,for his work on cathode rays,Physics,1862-06-07,Bratislava,Slovakia,48.144722,17.112778,5/20/1947,Messelhausen,Germany,49.575453,9.788308,Kiel University,Kiel,Germany,54.323168,10.121556,https://en.wikipedia.org/wiki/Philipp_Lenard,0,5,230,0,1.0
1905,11/9/1905,138089,9629677,164.0,Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,male,1.0,1.0,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Chemistry,1835-10-31,Berlin,Germany,52.522265,13.406852,8/20/1917,Starnberg,Germany,48.000536,11.342857,Munich University,Munich,Germany,48.134703,11.581995,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,0,5,200,0,4.0
1905,10/12/1905,138089,9629677,297.0,Robert Koch,Robert Koch,male,1.0,1.0,for his investigations and discoveries in relation to tuberculosis,Physiology or Medicine,1843-12-11,Clausthal-Zellerfeld,Germany,51.805,10.335556,5/27/1910,Baden-Baden,Germany,48.76564,8.228524,Institute for Infectious Diseases,Berlin,Germany,52.522265,13.406852,https://en.wikipedia.org/wiki/Robert_Koch,0,5,232,0,5.0
1905,12/10/1905,138089,9629677,468.0,Bertha von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,1.0,1.0,for her audacity to oppose the horrors of war,Peace,1843-06-09,Prague,Czech Republic,50.07507,14.42989,6/21/1914,Vienna,Austria,48.207646,16.372793,,,,,,https://en.wikipedia.org/wiki/Bertha_von_Suttner,0,5,112,0,1.0
1906,11/12/1906,138536,9384824,165.0,Henri Moissan,Henri Moissan,male,1.0,1.0,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Chemistry,1852-09-28,Paris,France,48.860093,2.355954,2/20/1907,Paris,France,48.860093,2.355954,Sorbonne University,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Henri_Moissan,0,6,200,0,6.0
1906,11/8/1906,138536,9384824,576.0,Giosuè Carducci,Giosuè Carducci,male,1.0,1.0,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",Literature,1835-07-27,Val di Castello,Italy,44.49382,11.342633,2/16/1907,Bologna,Italy,44.493889,11.342778,,,,,,https://en.wikipedia.org/wiki/Giosuè_Carducci,0,6,122,0,1.0
1906,12/10/1906,138536,9384824,470.0,Theodore Roosevelt,Theodore Roosevelt Jr.,male,1.0,1.0,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",Peace,1858-10-27,"New York, NY",USA,40.715758,-74.0113,1/6/1919,"Oyster Bay, NY",USA,40.759389,-73.502806,US Government,Washington,USA,,,https://en.wikipedia.org/wiki/Theodore_Roosevelt,0,6,112,0,1.0
1906,11/12/1906,138536,9384824,10.0,J.J. Thomson,Joseph John Thomson,male,1.0,1.0,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,Physics,1856-12-18,Cheetham Hill,United Kingdom,53.502515,-2.235535,8/30/1940,Cambridge,United Kingdom,52.194605,0.135092,University of Cambridge,Cambridge,United Kingdom,52.194605,0.135092,https://en.wikipedia.org/wiki/J._J._Thomson,0,6,230,0,3.0
1906,10/25/1906,138536,9384824,298.0,Camillo Golgi,Camillo Golgi,male,0.5,1.0,in recognition of their work on the structure of the nervous system,Physiology or Medicine,1843-07-07,Corteno,Italy,46.166944,10.244444,1/21/1926,Pavia,Italy,45.184853,9.154865,Pavia University,Pavia,Italy,45.184853,9.154865,https://en.wikipedia.org/wiki/Camillo_Golgi,1,6,232,0,2.0
1906,10/25/1906,138536,9384824,299.0,Santiago Ramón y Cajal,Santiago Ramón y Cajal,male,0.5,2.0,in recognition of their work on the structure of the nervous system,Physiology or Medicine,1852-05-01,Petilla de Aragón,Spain,42.461576,-1.092493,10/17/1934,Madrid,Spain,40.423203,-3.693965,Madrid University,Madrid,Spain,40.423203,-3.693965,https://en.wikipedia.org/wiki/Santiago_Ramón_y_Cajal,1,6,232,0,2.0
1907,11/12/1907,138796,8894198,166.0,Eduard Buchner,Eduard Buchner,male,1.0,1.0,for his biochemical researches and his discovery of cell-free fermentation,Chemistry,1860-05-20,Munich,Germany,48.134703,11.581995,8/13/1917,Focsani,Romania,45.696475,27.184043,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,52.522265,13.406852,https://en.wikipedia.org/wiki/Eduard_Buchner,0,6,200,0,6.0
1907,11/7/1907,138796,8894198,577.0,Rudyard Kipling,Rudyard Kipling,male,1.0,1.0,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",Literature,1865-12-30,Mumbai,India,19.075833,72.8775,1/18/1936,London,United Kingdom,51.510235,-0.120852,,,,,,https://en.wikipedia.org/wiki/Rudyard_Kipling,0,6,122,0,2.0
1907,12/10/1907,138796,8894198,471.0,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta,male,0.5,1.0,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",Peace,1833-09-20,Milan,Italy,45.460249,9.181687,2/10/1918,Milan,Italy,45.460249,9.181687,,,,,,https://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta,1,6,112,0,3.0
1907,12/10/1907,138796,8894198,472.0,Louis Renault,Louis Renault,male,0.5,2.0,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,Peace,1843-05-21,Autun,France,46.951111,4.298611,2/8/1918,Barbizon,France,48.445165,2.606217,Sorbonne University,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Louis_Renault_(jurist),1,6,112,0,7.0
1907,11/12/1907,138796,8894198,11.0,Albert A. Michelson,Albert Abraham Michelson,male,1.0,1.0,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Physics,1852-12-19,Strzelno,Poland,52.629444,18.17,5/9/1931,"Pasadena, CA",USA,34.150071,-118.142111,University of Chicago,"Chicago, IL",USA,41.876228,-87.638416,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson,0,6,230,0,4.0
1907,10/31/1907,138796,8894198,300.0,Alphonse Laveran,Charles Louis Alphonse Laveran,male,1.0,1.0,in recognition of his work on the role played by protozoa in causing diseases,Physiology or Medicine,1845-06-18,Paris,France,48.860093,2.355954,5/18/1922,Paris,France,48.860093,2.355954,Institut Pasteur,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran,0,6,232,0,8.0
1908,11/12/1908,139800,8958535,578.0,Rudolf Eucken,Rudolf Christoph Eucken,male,1.0,1.0,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",Literature,1846-01-05,Aurich,Germany,53.472865,7.479315,9/14/1926,Jena,Germany,50.927222,11.586389,,,,,,https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken,0,7,122,0,7.0
1908,12/10/1908,139800,8958535,474.0,Fredrik Bajer,Fredrik Bajer,male,0.5,2.0,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Peace,1837-04-21,Næstved,Denmark,55.233333,11.766667,1/22/1922,Copenhagen,Denmark,55.678127,12.572532,,,,,,https://en.wikipedia.org/wiki/Fredrik_Bajer,1,7,112,0,1.0
1908,12/10/1908,139800,8958535,473.0,Klas Pontus Arnoldson,Klas Pontus Arnoldson,male,0.5,1.0,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Peace,1844-10-27,Gothenburg,Sweden,57.707168,12.003677,2/20/1916,Stockholm,Sweden,59.325371,18.070794,,,,,,https://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson,1,7,112,0,2.0
1908,10/29/1908,139800,8958535,301.0,Ilya Mechnikov,Ilya Ilyich Mechnikov,male,0.5,1.0,in recognition of their work on immunity,Physiology or Medicine,1845-05-15,Kharkiv,Ukraine,49.9925,36.231111,7/15/1916,Paris,France,48.860093,2.355954,Institut Pasteur,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Élie_Metchnikoff,1,7,232,0,1.0
1908,11/10/1908,139800,8958535,12.0,Gabriel Lippmann,Gabriel Lippmann,male,1.0,1.0,for his method of reproducing colours photographically based on the phenomenon of interference,Physics,1845-08-16,Hollerich,Luxembourg,49.604222,6.11188,7/13/1921,,,,,Sorbonne University,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Gabriel_Lippmann,0,7,230,0,1.0
1908,10/29/1908,139800,8958535,302.0,Paul Ehrlich,Paul Ehrlich,male,0.5,2.0,in recognition of their work on immunity,Physiology or Medicine,1854-03-14,Strzelin,Poland,50.783333,17.066667,8/20/1915,Bad Homburg vor der Höhe,Germany,50.228031,8.618313,Goettingen University,Göttingen,Germany,51.539385,9.913113,https://en.wikipedia.org/wiki/Paul_Ehrlich,1,7,232,0,5.0
1908,11/10/1908,139800,8958535,167.0,Ernest Rutherford,Ernest Rutherford,male,1.0,1.0,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Chemistry,1871-08-30,Nelson,New Zealand,-41.298971,173.243545,10/19/1937,Cambridge,United Kingdom,52.194605,0.135092,Victoria University,Manchester,United Kingdom,53.478756,-2.245094,https://en.wikipedia.org/wiki/Ernest_Rutherford,0,7,200,0,1.0
1909,11/11/1909,139800,8958535,579.0,Selma Lagerlöf,Selma Ottilia Lovisa Lagerlöf,female,1.0,1.0,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",Literature,1858-11-20,Mårbacka,Sweden,59.780975,13.233421,3/16/1940,Mårbacka,Sweden,59.780975,13.233421,,,,,,https://en.wikipedia.org/wiki/Selma_Lagerlöf,0,7,122,0,3.0
1909,11/9/1909,139800,8958535,168.0,Wilhelm Ostwald,Wilhelm Ostwald,male,1.0,1.0,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Chemistry,1853-09-02,Riga,Latvia,56.966035,24.106409,4/4/1932,Leipzig,Germany,51.339522,12.384015,Leipzig University,Leipzig,Germany,51.339522,12.384015,https://en.wikipedia.org/wiki/Wilhelm_Ostwald,0,7,200,0,1.0
1909,10/28/1909,139800,8958535,303.0,Theodor Kocher,Emil Theodor Kocher,male,1.0,1.0,"for his work on the physiology, pathology and surgery of the thyroid gland",Physiology or Medicine,1841-08-25,Bern,Switzerland,46.948471,7.445402,7/27/1917,Bern,Switzerland,46.948471,7.445402,Berne University,Bern,Switzerland,46.948471,7.445402,https://en.wikipedia.org/wiki/Emil_Theodor_Kocher,0,7,232,0,4.0
1909,12/10/1909,139800,8958535,475.0,Auguste Beernaert,Auguste Marie François Beernaert,male,0.5,1.0,for their prominent position in the international movement for peace and arbitration,Peace,1829-07-26,Ostend,Belgium,51.225833,2.919444,10/6/1912,Lucerne,Switzerland,47.050168,8.309307,,,,,,https://en.wikipedia.org/wiki/Auguste_Marie_François_Beernaert,1,7,112,0,1.0
1909,11/9/1909,139800,8958535,14.0,Ferdinand Braun,Karl Ferdinand Braun,male,0.5,2.0,in recognition of their contributions to the development of wireless telegraphy,Physics,1850-06-06,Fulda,Germany,50.55589,9.68009,4/20/1918,"Brooklyn, NY",USA,40.676379,-73.949819,Strasbourg University,Strasbourg,France,48.573361,7.752464,https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun,1,7,230,0,8.0
1909,11/9/1909,139800,8958535,13.0,Guglielmo Marconi,Guglielmo Marconi,male,0.5,1.0,in recognition of their contributions to the development of wireless telegraphy,Physics,1874-04-25,Bologna,Italy,44.493889,11.342778,7/20/1937,Rome,Italy,41.902288,12.506464,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,51.510235,-0.120852,https://en.wikipedia.org/wiki/Guglielmo_Marconi,1,7,230,0,4.0
1909,12/10/1909,139800,8958535,476.0,Paul Henri d'Estournelles de Constant,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,0.5,2.0,for their prominent position in the international movement for peace and arbitration,Peace,1852-11-22,La Flèche,France,47.699722,-0.076111,5/15/1924,Paris,France,48.860093,2.355954,,,,,,https://en.wikipedia.org/wiki/Paul-Henri-Benjamin_d'Estournelles_de_Constant,1,7,112,0,9.0
1910,11/12/1910,140703,9016400,169.0,Otto Wallach,Otto Wallach,male,1.0,1.0,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Chemistry,1847-03-27,Kaliningrad,Russia,54.716667,20.5,2/26/1931,Göttingen,Germany,51.539385,9.913113,Goettingen University,Göttingen,Germany,51.539385,9.913113,https://en.wikipedia.org/wiki/Otto_Wallach,0,4,200,0,2.0
1910,11/10/1910,140703,9016400,580.0,Paul Heyse,Paul Johann Ludwig Heyse,male,1.0,1.0,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",Literature,1830-03-15,Berlin,Germany,52.522265,13.406852,4/2/1914,Munich,Germany,48.134703,11.581995,,,,,,https://en.wikipedia.org/wiki/Paul_Heyse,0,4,122,0,9.0
1910,11/5/1910,140703,9016400,15.0,Johannes Diderik van der Waals,Johannes Diderik van der Waals,male,1.0,1.0,for his work on the equation of state for gases and liquids,Physics,1837-11-23,Leiden,the Netherlands,52.160787,4.495746,3/8/1923,Amsterdam,the Netherlands,52.36942,4.907108,Amsterdam University,Amsterdam,the Netherlands,52.36942,4.907108,https://en.wikipedia.org/wiki/Johannes_Diderik_van_der_Waals,0,4,230,0,4.0
1910,10/20/1910,140703,9016400,304.0,Albrecht Kossel,Albrecht Kossel,male,1.0,1.0,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Physiology or Medicine,1853-09-16,Rostock,Germany,54.083333,12.133333,7/5/1927,Heidelberg,Germany,49.39922,8.680522,University of Heidelberg,Heidelberg,Germany,49.39922,8.680522,https://en.wikipedia.org/wiki/Albrecht_Kossel,0,4,232,0,10.0
1911,11/7/1911,140695,9266329,6.0,Marie Curie,"Marie Curie, née Skłodowska",female,1.0,1.0,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",Chemistry,1867-11-07,Warsaw,Poland,52.230046,21.011995,7/4/1934,Sallanches,France,45.936661,6.630557,Sorbonne University,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Marie_Curie,0,6,200,1,6.0
1911,11/9/1911,140695,9266329,581.0,Maurice Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,male,1.0,1.0,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",Literature,1862-08-29,Ghent,Belgium,51.04699,3.735154,5/6/1949,Nice,France,43.709618,7.26105,,,,,,https://en.wikipedia.org/wiki/Maurice_Maeterlinck,0,6,122,0,2.0
1911,12/10/1911,140695,9266329,478.0,Tobias Asser,Tobias Michael Carel Asser,male,0.5,1.0,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",Peace,1838-04-28,Amsterdam,the Netherlands,52.36942,4.907108,7/29/1913,the Hague,the Netherlands,52.070359,4.300254,,,,,,https://en.wikipedia.org/wiki/Tobias_Asser,1,6,112,0,5.0
1911,12/10/1911,140695,9266329,479.0,Alfred Fried,Alfred Hermann Fried,male,0.5,2.0,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",Peace,1864-11-11,Vienna,Austria,48.207646,16.372793,5/4/1921,Vienna,Austria,48.207646,16.372793,,,,,,https://en.wikipedia.org/wiki/Alfred_Hermann_Fried,1,6,112,0,1.0
